Label,2020,Prediction in 2040,Change,Change in %
Asia,2459443,4131780,1672337,+68.0%
Europe,871206,1075092,203886,+23.4%
Africa,387546,737156,349610,+90.2%
Latin America and Caribbean,348279,601402,253123,+72.7%
Northern America,331418,477247,145829,+44.0%
Oceania,31431,51100,19669,+62.6%
