Label,2020,Prediction in 2040,Change,Change in %
Asia,5021195,8288359,3267164,+65.1%
Europe,2339617,2974359,634742,+27.1%
Northern America,1372002,1959522,587520,+42.8%
Latin America and Caribbean,720267,1242525,522258,+72.5%
Africa,475753,917612,441859,+92.9%
Oceania,136471,202719,66248,+48.5%
