Label,2020,Prediction in 2040,Change,Change in %
Asia,3349988,5725810,2375822,+70.9%
Europe,1084025,1451018,366993,+33.9%
Latin America and Caribbean,365135,663777,298642,+81.8%
Africa,323883,635273,311390,+96.1%
Northern America,367856,566802,198946,+54.1%
Oceania,37923,63746,25823,+68.1%
