Label,2020,Prediction in 2040,Change,Change in %
Asia,5809431,9857590,4048159,+69.7%
Europe,1955231,2526110,570879,+29.2%
Africa,711429,1372428,660999,+92.9%
Latin America and Caribbean,713414,1265179,551765,+77.3%
Northern America,699274,1044049,344775,+49.3%
Oceania,69354,114846,45492,+65.6%
